!GO Term	EGF_Baseline	EGF_Stumulus
GO:0055114	-1.11	-0.46
GO:0022008	-1.11	0.89
GO:0006508	-1.94	-0.37
GO:0006508	0.94	0.81
GO:0034220	1.09	0.72
GO:0008150	-1.78	0.98
GO:0052689	-1.02	1.20
GO:0055114	-0.56	0.93
GO:0016787	-1.56	-0.86
GO:0007165	0.71	0.58
GO:0097105	0.96	-1.41
GO:0035371	0.79	-1.05
GO:0055114	-1.52	0.50
GO:0004252	1.06	1.33
GO:0060439	1.01	0.84
GO:0016772	1.02	0.42
GO:0005509	-0.47	0.36
GO:0051539	0.48	0.97
GO:0052591	-1.32	0.67
GO:0045087	-1.28	-0.69
GO:0046872	1.29	-1.04
GO:0046922	-0.86	0.50
GO:0006032	-0.23	0.27
GO:0003676	-0.65	-0.63
GO:0030170	-1.35	1.30
GO:0042254	-0.75	0.20
GO:0003677	0.34	-0.64
GO:0046331	-0.68	-0.94
GO:0008150	-0.41	-1.22
GO:0008150	-0.51	0.44
GO:0055114	-2.00	0.52
GO:0040003	-0.55	-0.10
GO:0008150	1.01	1.48
GO:0008150	0.47	-0.63
GO:0016021	0.55	0.61
GO:0003676	0.90	-1.06
GO:0009165	-2.07	-0.28
GO:0045893	0.41	1.33
GO:0006464	-1.54	-0.29
GO:0008150	-1.32	0.95
GO:0007606	-1.35	0.31
GO:0008152	-0.72	2.84
GO:0046872	0.80	-0.33
GO:0045179	-1.39	-0.80
GO:0055085	-0.07	-0.18
GO:0008061	-0.34	1.02
GO:0008150	-1.49	0.31
GO:0005975	1.43	1.48
GO:0005811	1.26	-0.65
GO:0042048	1.52	0.32
GO:0043547	0.34	-0.53
GO:0005737	2.19	1.84
GO:0051119	-0.78	0.79
GO:0060967	2.16	1.02
GO:0016021	-1.24	-1.24
GO:0045454	-0.23	0.77
GO:0032259	0.20	0.56
GO:0016021	-0.71	1.17
GO:0034220	-0.42	-0.38
GO:0006508	-0.63	0.35
GO:0045747	-1.63	1.51
GO:0055114	0.84	0.66
GO:0018298	1.40	-1.46
GO:0043461	0.54	1.13
GO:0060356	-0.75	-0.47
GO:0055085	-1.92	-0.37
GO:0055085	1.86	0.97
GO:0035848	-0.65	0.33
GO:0055114	-1.13	0.50
GO:0007606	-1.46	-0.42
GO:0048812	1.32	-0.45
GO:0055114	-0.80	-0.84
GO:0050912	-2.38	-1.79
GO:0040003	0.90	0.98
GO:0046872	-1.26	0.49
GO:0050911	-1.87	-1.83
GO:0061382	1.58	0.52
GO:1902476	-0.52	1.28
GO:0035230	2.34	1.19
GO:0034220	0.23	0.18
GO:0070469	0.76	1.01
GO:0006909	2.48	-1.93
GO:0006419	0.45	-0.61
GO:0006281	-1.68	1.62
GO:0055114	-1.32	0.88
GO:0040003	-0.56	0.51
GO:0048471	-0.79	-0.81
GO:0016887	-0.99	-0.38
GO:0070073	1.46	1.73
GO:0006468	0.76	0.61
GO:0008270	0.74	0.67
GO:0035008	-1.26	0.37
GO:0016021	-1.97	1.07
GO:0055114	-1.15	-1.46
GO:0008150	-0.97	-0.90
GO:0048813	-1.18	-1.54
GO:0055085	1.28	0.59
GO:0006468	1.07	-0.88
GO:0005515	-0.38	-0.22
GO:0040003	0.82	0.31
GO:0055114	-0.91	0.69
GO:0008150	-0.37	-0.40
GO:0051291	-1.01	0.33
GO:0007264	1.23	1.62
GO:0008150	-1.31	0.90
GO:0044211	-0.11	-0.88
GO:0097502	1.21	-0.42
GO:0048067	0.84	0.71
GO:0005764	-1.35	0.73
GO:0035335	1.25	-1.26
GO:0016311	-0.74	-0.44
GO:0055114	0.74	-1.29
GO:0006629	1.15	-0.28
GO:0051726	0.52	-0.91
GO:0042274	-1.15	-0.84
GO:0003674	-1.19	-0.71
GO:0003677	1.10	-0.42
GO:0042060	-0.47	1.57
GO:0006508	-1.52	-0.76
GO:0045202	-0.65	0.85
GO:0008187	-0.33	1.14
GO:0008150	-1.69	0.47
GO:0030337	1.71	-1.07
GO:0008150	-0.97	0.14
GO:0044778	0.81	4.71
GO:0048067	-0.12	0.46
GO:0003729	-0.80	0.42
GO:0048477	0.39	-0.46
GO:0006508	-1.12	0.14
GO:0050877	0.92	0.79
GO:0008150	0.14	1.12
GO:0008150	0.39	0.30
GO:0006468	0.75	0.84
GO:0031225	1.72	0.58
GO:0071949	-0.47	1.28
GO:0007264	-1.05	0.95
GO:0016021	-2.10	1.57
GO:0008150	1.18	0.92
GO:0048102	-2.00	0.75
GO:0048477	1.05	0.35
GO:0031941	2.51	-2.07
GO:0008152	-0.98	-0.25
GO:0008150	0.70	-0.81
GO:0098655	0.84	-0.59
GO:0042384	-1.68	1.90
GO:0022008	-1.31	-0.69
GO:0008150	0.47	0.72
GO:0006412	-0.54	-0.33
GO:0016772	1.56	-0.35
GO:0035195	-0.93	-1.20
GO:0055114	-1.32	-0.32
GO:0008150	-1.59	-0.27
GO:0016791	0.34	0.30
GO:0055085	0.22	0.08
GO:0034244	0.19	-1.59
GO:0042623	-1.54	0.66
GO:0050769	-0.99	1.24
GO:0060285	1.16	1.27
GO:0030496	1.44	1.26
GO:0055085	-0.88	0.62
GO:0080019	-1.13	0.23
GO:0008234	0.58	-0.47
GO:0046872	0.63	-0.53
GO:0071861	-1.46	1.46
GO:0050829	-0.51	0.87
GO:0046843	-0.41	1.00
GO:0012505	1.11	0.34
GO:0008532	0.70	-1.17
GO:0048067	-0.77	-0.23
GO:0071806	-0.31	-0.62
GO:0008270	-2.06	-1.45
GO:0008150	0.80	0.34
GO:0001056	1.30	0.88
GO:0030246	0.49	0.73
GO:0000990	-0.23	0.82
GO:0008278	-0.85	-0.92
GO:0042787	-1.34	-0.62
GO:0022008	-1.30	-1.59
GO:0048082	-0.14	-1.01
GO:0030488	0.48	-1.03
GO:0050839	0.36	-0.83
GO:0055114	0.47	0.74
GO:0090503	3.09	-4.17
GO:0042381	-0.77	1.50
GO:0031637	0.54	0.90
GO:0000139	0.81	0.67
GO:0001056	6.63	-1.45
GO:0032504	-1.17	0.91
GO:0008150	-0.21	0.82
GO:0003677	-0.48	-0.58
GO:0016021	-0.56	1.25
GO:0042600	0.57	-0.83
GO:0006011	0.92	1.73
GO:0008150	1.67	1.59
GO:0006979	-1.21	-0.45
GO:0051297	0.42	0.92
GO:0031965	1.44	1.00
GO:1901693	-0.87	-1.38
GO:0071806	1.04	-0.69
GO:0052848	0.19	-0.41
GO:0035556	0.85	1.67
GO:0022008	1.16	-0.97
GO:0016287	0.52	-0.90
GO:0032259	-0.85	0.68
GO:0051539	-0.65	1.26
GO:0045289	-1.50	0.56
GO:0090305	-1.06	0.48
GO:0006412	-1.75	0.80
GO:0050916	0.53	0.60
GO:0040003	-0.31	-0.71
GO:0008150	0.75	0.74
GO:0008150	-0.80	-0.34
GO:0016592	2.89	-0.49
GO:0055114	-1.11	0.66
GO:0008061	0.83	0.58
