!GO Term	EGF_Baseline	EGF_Stumulus
GO:0008150	1.67	1.10
GO:0003729	-0.92	0.66
GO:0032496	0.31	1.53
GO:0072553	-1.14	0.52
GO:0008150	0.63	0.82
GO:0050829	-1.03	-0.62
GO:0030150	0.90	1.04
GO:0016887	0.20	0.32
GO:0042600	0.17	0.53
GO:0055114	0.48	0.32
GO:0022008	0.52	0.45
GO:0016192	-0.90	1.27
GO:0005770	0.63	0.38
GO:0048190	-0.46	-0.34
GO:0008150	-0.30	-0.37
GO:0005730	-0.59	-0.44
GO:0048800	0.94	-0.13
GO:0043524	3.10	-4.37
GO:0048477	-1.10	-1.04
GO:0046872	1.18	1.31
GO:0016021	-1.23	-0.89
GO:0055114	-1.47	-0.43
GO:0055037	-1.02	-0.75
GO:0048477	-0.41	-2.12
GO:0008150	1.15	0.17
GO:0046692	0.24	0.79
GO:0032504	-1.41	0.84
GO:0055114	-0.50	0.49
GO:0043565	0.58	0.93
GO:0050662	0.48	-0.14
GO:0055114	0.25	-0.63
GO:0008150	-0.92	0.35
GO:0010494	-0.77	1.55
GO:0008150	-0.12	-0.20
GO:0071204	-0.47	0.35
GO:0008152	-0.89	1.01
GO:0016021	-1.43	-1.15
GO:0046872	0.86	0.64
GO:0071013	4.95	0.91
GO:0010951	-0.32	0.57
GO:0008150	1.07	1.14
GO:0051492	1.03	-0.94
GO:0051028	-1.02	-0.19
GO:0051049	-0.64	0.49
GO:0008152	-0.48	0.58
GO:0008150	-1.25	0.45
GO:0007521	0.60	-0.87
GO:0051726	-1.52	1.33
GO:0006414	0.75	-0.98
GO:0035556	-1.25	1.53
GO:0042600	-0.56	1.49
GO:0045165	1.26	1.29
GO:0048526	-0.50	0.05
GO:0032504	-0.13	-0.92
GO:0051020	1.67	-0.31
GO:0008150	-0.84	0.33
GO:0050830	1.30	-0.89
GO:0016772	-0.74	-0.95
GO:0016020	-1.68	-0.89
GO:0071013	-0.60	-0.44
GO:0030496	0.81	0.36
GO:0005615	-0.45	0.80
GO:0022008	-0.32	0.67
GO:0042787	0.95	0.21
GO:0030145	0.37	0.47
GO:0046939	0.38	-0.41
GO:0008150	0.75	0.48
GO:0045211	-0.87	0.58
GO:0031047	0.66	1.00
GO:0030976	-0.61	0.72
GO:0007283	0.27	-0.32
GO:0046872	0.40	-0.95
GO:0006508	0.93	-0.29
GO:0004175	-0.91	-1.59
GO:0016021	0.51	0.81
GO:0043138	0.39	-0.01
GO:0006451	1.18	-0.23
GO:0007606	0.91	0.57
GO:0004364	-1.83	0.56
GO:0051487	-0.77	-0.39
GO:0006470	-1.72	-0.32
GO:0001075	-0.75	0.45
GO:0006412	3.75	-3.08
GO:0008150	-1.30	0.93
GO:2000253	-0.10	-1.17
GO:0008278	-1.35	0.68
GO:0016020	-0.48	-0.92
GO:0008293	-1.23	1.07
GO:0008150	0.47	-1.21
GO:0048542	0.24	-0.25
GO:0055114	-1.15	-0.25
GO:0055114	-1.22	0.79
GO:0000790	-1.07	-1.04
GO:0006412	0.76	-1.02
GO:0050912	-0.72	1.08
GO:0018298	-1.53	0.37
GO:0008150	0.72	0.56
GO:0090305	-0.57	1.01
GO:0046939	0.74	0.66
GO:0051297	3.73	-1.72
GO:0042254	1.40	-0.71
GO:0046989	1.13	0.26
GO:0016021	1.43	2.38
GO:0008152	-0.32	-0.59
GO:0015986	-1.75	-2.02
GO:0008150	1.13	1.38
GO:0055085	0.28	0.98
GO:0008150	-1.37	0.27
GO:0006749	0.66	0.59
GO:0055114	1.11	1.14
GO:0055085	-1.27	0.51
GO:0001054	1.05	1.37
GO:0008150	-0.70	-0.50
GO:0055114	0.69	0.50
GO:0046872	0.41	0.46
GO:0051260	0.84	-1.01
GO:0003729	-1.43	-0.78
GO:0009612	-1.90	-0.20
GO:0022008	0.42	0.62
GO:0060439	-1.64	0.57
GO:0045169	-1.39	0.23
GO:0030206	-1.10	-0.67
GO:0000502	1.82	-2.54
GO:0031116	1.16	0.95
GO:0090302	2.18	-1.17
GO:0052656	0.92	-0.42
GO:0006508	-2.76	1.64
GO:0016887	0.37	0.64
GO:0055114	-1.98	0.92
GO:0042787	-0.94	0.39
GO:0070588	0.76	0.95
GO:0055114	2.09	0.43
GO:0048802	1.31	1.15
GO:0090503	0.93	-0.27
GO:0048515	-0.58	-1.62
GO:0008150	-1.73	0.64
GO:0006412	4.49	-4.77
GO:2001019	1.51	0.33
GO:0032259	-0.66	0.78
GO:0032320	-0.65	-3.58
GO:0008061	0.09	0.44
GO:0008061	0.40	0.16
GO:0051298	4.26	-4.66
GO:0006430	1.97	1.07
GO:0005575	0.30	0.54
GO:0040003	0.59	-0.98
GO:0030246	0.14	1.15
GO:0007049	-0.71	0.49
GO:1900073	-0.83	0.77
GO:0055085	-0.30	-1.44
GO:0008270	1.26	0.52
GO:0015031	0.42	-0.41
GO:0016231	-0.39	0.56
GO:0046872	-1.20	-0.35
GO:0045196	1.10	-1.86
GO:0045169	-0.31	-0.65
GO:0097431	-1.57	-0.11
GO:0005509	0.98	1.21
GO:0004252	1.18	1.37
GO:0046872	-1.19	-0.26
GO:0010468	1.25	-0.70
GO:0008360	0.48	0.85
GO:0042578	2.02	-0.17
GO:0016311	-1.18	0.22
GO:0032027	0.99	0.63
GO:0005819	-2.13	0.86
GO:0008270	0.76	1.16
GO:0008061	1.74	-0.39
GO:0006508	0.59	1.51
GO:0051298	1.90	-2.81
GO:0016021	-0.97	-0.78
GO:0008150	1.22	0.89
GO:0007095	-1.02	0.38
GO:0030178	0.34	-2.61
GO:0008150	1.74	1.31
GO:0008270	-1.39	1.27
GO:0006508	-0.67	0.22
GO:0043695	1.00	1.42
GO:2000134	-3.36	-4.07
GO:0007606	0.67	1.03
GO:0050911	-1.60	0.20
GO:0006726	0.08	0.80
GO:0008150	-1.06	-1.04
GO:0008150	-0.47	-0.30
GO:0004867	-1.05	0.81
GO:0008150	-1.25	-1.63
GO:0050911	0.47	0.16
GO:0071254	-1.66	0.48
GO:0006508	0.26	-0.44
GO:0042623	-0.91	-1.48
GO:0004402	-0.92	-0.57
GO:0008150	-0.30	1.02
GO:0071013	0.48	1.32
GO:0046983	-1.19	0.17
GO:0048104	-0.65	0.21
GO:0008234	-1.04	-0.08
GO:0030150	0.84	-0.38
GO:0006749	0.88	-0.60
GO:0006412	1.10	-1.26
GO:1901203	-1.23	0.65
GO:0045128	-1.65	-0.59
GO:0042023	0.41	0.63
GO:0017050	1.52	-0.27
GO:0030301	-0.19	0.91
GO:0046331	-0.92	0.77
GO:0030126	1.44	0.40
GO:0008150	-0.98	0.93
GO:0055114	-1.48	-1.18
GO:0016020	0.47	-0.54
GO:0033227	-0.08	0.36
GO:0008353	-0.52	-0.75
GO:1990023	1.12	-2.06
GO:0008150	0.44	0.62
GO:0008324	1.33	-0.76
GO:0016021	-1.57	0.34
GO:0046872	1.48	0.33
GO:0051603	-1.77	1.31
GO:0050832	0.98	-1.00
GO:0042623	-0.86	-0.78
GO:0008152	-0.95	0.65
GO:0018108	1.32	1.72
GO:0031430	0.49	-2.35
GO:0006508	0.71	1.13
GO:0008150	0.49	0.92
GO:0045861	-1.79	-0.54
GO:0051726	-0.24	0.44
GO:0030182	-1.19	1.51
GO:0046961	-0.89	-0.87
GO:0048813	-0.73	-0.27
GO:0055114	-1.57	0.86
GO:0050912	1.08	0.39
GO:0005794	1.67	0.68
GO:0008150	1.27	0.39
GO:0016021	0.54	0.23
GO:0050790	-0.99	0.57
GO:0031012	1.41	0.66
GO:0090305	0.51	0.86
GO:0050808	0.62	0.56
GO:0016403	0.91	1.89
GO:0007157	0.18	0.92
GO:0034227	0.70	-0.68
GO:0032027	-0.84	0.26
GO:0016787	-1.58	1.38
GO:0032851	0.49	0.83
GO:0020037	-1.57	0.58
GO:0055114	1.86	-0.38
GO:0016020	-0.93	-1.52
GO:0008150	-1.24	0.89
GO:0060179	1.19	-0.39
GO:0098655	1.15	0.86
GO:0008150	0.81	0.92
GO:0050832	-0.42	-0.70
GO:0061024	-0.97	0.59
GO:0006508	-0.58	0.69
GO:0055114	0.15	-0.87
GO:0070374	0.45	-0.77
GO:0000776	-0.64	0.36
GO:0031430	-0.19	-0.31
GO:0042594	-0.92	0.81
GO:0030849	-0.23	-0.45
GO:0045735	0.49	0.64
GO:0071683	-4.48	-1.39
GO:0035208	-1.31	-1.22
GO:0042592	0.73	-0.30
GO:0008270	-1.04	1.45
GO:0050829	-1.06	-0.71
GO:0051298	1.33	-1.30
GO:0061031	1.25	-0.99
GO:0005509	-1.47	1.13
GO:0008270	-1.45	-0.84
GO:0048813	-0.85	0.32
GO:0015914	-1.56	-0.09
GO:0090097	-1.15	-0.82
GO:0019674	-1.59	1.14
GO:0016263	-1.90	0.49
GO:0034472	0.51	-0.24
GO:0008150	0.91	-0.46
GO:0016021	-1.40	0.71
GO:0046872	-1.56	1.31
GO:0016021	1.16	1.02
GO:0008312	-0.49	0.40
GO:0046872	1.06	2.19
GO:0007275	1.37	-0.69
GO:0042742	-1.03	0.91
GO:0052689	-2.11	1.21
GO:0048477	-0.42	-0.42
GO:0008150	-0.59	0.23
GO:0051571	0.61	0.04
GO:0050839	1.82	1.52
GO:0005615	-1.13	0.80
GO:0022008	-2.15	0.98
GO:0051445	-0.52	0.92
GO:0055114	-0.42	-0.09
GO:0008270	-0.88	0.33
GO:0016192	-1.18	-0.49
GO:0005975	-1.19	0.75
GO:0008150	-0.52	-1.16
GO:0022008	-0.75	-0.70
GO:0006420	0.68	-0.95
GO:0006508	-1.47	0.20
GO:0001075	-0.95	0.08
GO:0016020	-0.46	-0.95
GO:0055114	-1.08	0.34
GO:1901054	0.59	0.98
GO:0016021	0.62	-0.11
GO:0070822	0.79	0.83
GO:0016787	0.81	-1.38
GO:0016021	-0.89	0.60
GO:0045676	-2.03	-1.08
GO:0050829	0.44	1.25
GO:0050790	1.58	1.07
GO:0030246	-1.66	0.44
GO:0008150	-1.72	0.38
GO:0005768	-1.02	-0.50
GO:0070652	0.42	-0.43
GO:0008270	0.60	-0.17
GO:0030030	0.19	0.37
GO:0016881	-1.29	0.74
GO:0008150	0.89	-1.37
GO:0055085	0.51	-0.40
GO:0008150	-0.42	-0.42
GO:0046872	0.80	1.43
GO:0006749	0.97	-0.84
GO:0048813	-0.65	-0.36
GO:0008150	-1.00	0.72
GO:0043234	0.40	-1.09
GO:0006508	0.45	0.76
GO:0003677	-1.32	-0.48
GO:0046872	0.64	-0.26
GO:0008150	-0.99	-0.70
GO:0042734	-0.50	0.40
GO:0008150	-1.30	-0.78
GO:0048067	-1.09	0.54
GO:0030246	-1.02	1.45
GO:0016788	0.25	0.60
GO:0060564	1.66	-2.60
GO:0045859	0.74	0.42
GO:0045087	0.67	1.37
GO:0016021	-1.29	0.85
GO:0022008	1.42	0.73
GO:0055114	0.81	-0.51
GO:0071819	-0.54	0.57
GO:0035091	-3.12	-2.68
GO:0045944	-4.45	-4.51
GO:0008150	-1.19	1.03
GO:0008150	-0.51	0.78
GO:0034220	-0.49	-0.42
GO:0055085	-1.12	-0.29
GO:0071013	1.29	0.65
GO:0031124	1.01	0.94
GO:0072583	-0.95	-1.29
GO:0051082	-0.99	-1.09
GO:0050912	-1.37	1.24
GO:0050912	1.89	1.99
GO:0048477	0.48	-0.43
GO:0055085	-0.57	-0.94
GO:0016310	0.77	0.92
GO:2000252	-1.56	-1.82
GO:2001020	0.29	0.39
GO:0071875	1.28	1.33
GO:0046907	1.77	1.23
GO:0042332	-0.94	-0.92
GO:0016021	0.50	-0.19
GO:0048067	-0.50	-0.45
GO:0040003	-0.35	-0.22
GO:0033627	-1.66	0.73
GO:0045087	0.29	0.54
GO:0016787	-0.45	-1.45
GO:0008150	0.89	0.86
GO:0046331	-0.93	-0.88
GO:0016772	-0.17	0.62
GO:0016787	1.28	-2.36
GO:0003676	1.74	0.67
GO:0044745	-2.07	-0.57
GO:0060252	1.92	0.58
GO:0042595	-0.73	5.38
GO:0015629	-0.37	0.73
GO:0035725	-0.31	1.07
GO:0032784	-0.10	-1.29
GO:0043565	1.57	0.75
GO:0019898	-0.95	-0.76
GO:0007528	0.90	-0.65
GO:0050830	0.80	0.60
GO:0006508	0.45	0.59
GO:0005615	0.10	-0.33
GO:0042600	-1.50	1.04
GO:0045239	-2.64	1.80
GO:0031201	-1.19	-0.18
GO:0042052	1.26	0.55
GO:0055114	1.80	-1.43
GO:0052692	-1.13	0.56
GO:0008150	-1.59	0.59
GO:0070059	-0.24	1.49
GO:0042059	-1.35	-0.10
GO:0052856	0.22	0.42
GO:0048067	-0.25	0.88
GO:0008150	-0.93	0.61
GO:0034220	-0.51	-0.86
GO:0008236	-1.23	0.27
GO:0055114	-1.38	0.84
GO:0055114	-1.26	0.65
GO:0008150	-0.06	-0.68
GO:0090110	0.67	1.15
GO:0045944	1.67	1.76
GO:0048567	-1.63	-4.42
GO:0015459	0.49	0.80
GO:0016021	0.79	-0.29
GO:0040003	0.35	-0.63
GO:0043565	-0.90	-0.52
GO:0005730	1.56	-0.72
GO:0016485	0.23	-1.21
GO:0044745	-0.55	0.22
GO:0010951	-1.49	0.29
GO:0055114	0.61	0.88
GO:0016787	-0.44	0.15
GO:0050911	-1.37	1.43
GO:0033290	-1.30	-0.37
GO:0046872	1.17	1.00
GO:0071934	0.86	-0.85
GO:0033615	0.39	1.09
GO:0006264	0.86	-0.13
GO:0070511	-0.66	0.80
GO:0055114	-1.73	-1.89
GO:0055114	-0.11	-0.96
GO:0008150	-0.75	-0.24
GO:0033387	-1.01	0.77
GO:0048813	-0.39	1.03
GO:0048190	1.31	1.00
GO:0048813	-0.93	0.92
GO:0008270	-1.03	0.15
GO:0055085	2.43	0.91
GO:0035023	-1.64	0.88
GO:0050832	-1.12	-0.98
GO:0019706	-1.38	0.44
GO:0055065	1.16	1.08
GO:0006468	0.85	-0.78
GO:0000776	4.29	-0.92
GO:0030259	-0.99	1.19
GO:0051726	-0.89	0.51
GO:0006508	-0.33	0.22
GO:0032259	0.77	0.89
GO:0003677	0.31	1.09
GO:0016791	-1.39	-0.49
GO:0016787	0.57	-0.99
GO:0016740	-0.76	0.60
GO:0055074	2.03	0.94
GO:0030239	0.93	-0.71
GO:0006278	-1.67	2.13
GO:0051056	-1.14	0.96
GO:0046693	-1.51	-1.19
GO:0055114	0.61	-0.97
GO:0045879	0.29	1.45
GO:0008150	-1.51	-0.76
GO:0035010	-0.79	-0.77
GO:0007157	-0.74	0.90
GO:0008312	-1.17	0.27
GO:0016021	0.95	-1.74
GO:0016042	-1.19	-0.47
GO:0009052	-1.57	1.20
GO:2000678	0.39	-0.79
GO:0008340	0.57	-3.57
GO:0003682	-0.62	0.85
GO:0031966	1.75	0.72
GO:0034220	1.01	1.51
GO:0051177	-1.78	1.07
GO:0055085	-1.52	1.47
GO:0042594	-0.83	0.59
GO:0019287	-0.73	0.18
GO:0004175	-2.49	-1.92
GO:0008152	-1.25	1.18
GO:0035002	-1.01	-0.54
GO:0004402	-1.74	-0.52
GO:0071949	-0.55	0.35
GO:0019843	-1.03	1.09
GO:0007606	10.78	1.18
GO:0051726	-1.10	-0.07
GO:0060429	-0.77	-0.64
GO:0008150	-1.26	0.14
GO:0008150	-0.94	-0.40
GO:0004252	-0.86	-0.74
GO:0004175	-2.41	-4.51
GO:0046331	0.34	1.03
GO:0048477	-0.71	-1.21
GO:0042594	1.31	1.05
GO:0071855	-0.30	-0.16
GO:0006032	1.32	-0.68
GO:0008150	0.35	-0.20
GO:0016857	0.87	-0.87
GO:0008150	-0.92	0.53
GO:0050911	-0.96	-1.16
GO:0006412	-0.50	0.31
GO:0008150	0.46	0.91
GO:0008270	0.37	0.66
GO:0046872	-1.33	-0.80
GO:1902600	-1.64	-1.88
GO:0050832	-0.21	-0.80
GO:0055114	0.43	-0.02
GO:0001514	-1.32	-0.80
GO:0055114	0.97	-0.33
GO:0016021	-0.97	0.86
GO:0046835	0.25	1.44
GO:0018991	-1.75	1.19
GO:0046872	1.78	0.89
GO:0035725	1.39	-0.91
GO:0051028	-0.20	0.96
GO:0071907	-1.24	0.69
GO:0071013	-2.23	-1.03
GO:0030536	1.16	0.50
GO:0071013	0.42	1.22
GO:0008150	-0.73	1.49
GO:0004175	-0.54	-2.52
GO:0098586	0.63	0.80
GO:0006909	-1.25	0.60
GO:0010951	0.86	-1.19
GO:0050909	0.92	0.71
GO:0055085	1.21	0.72
GO:0008532	-1.98	-1.36
GO:0070588	-0.47	-1.04
GO:0000166	-1.31	0.69
GO:0055037	0.47	1.16
GO:0090305	-1.50	0.98
GO:0045454	0.60	0.99
GO:0008152	0.88	1.47
GO:0008150	-0.81	-1.10
GO:2001141	0.77	-0.75
GO:0006909	-0.81	-1.07
GO:0008150	-0.61	-0.22
GO:0035316	-1.40	-0.62
GO:0072488	0.61	1.08
GO:0070403	-0.90	0.43
GO:0008150	-0.93	0.17
GO:0050830	4.00	0.24
GO:0046961	0.97	-0.26
GO:0006508	-0.99	0.42
GO:0008270	-0.90	-0.38
GO:0004175	-0.25	-2.28
GO:0017137	-0.31	-0.91
GO:0006355	-1.79	-0.37
GO:0008270	-0.85	0.66
GO:0046961	-0.21	-1.17
GO:0008150	-0.33	-0.76
GO:0003676	0.80	-0.84
GO:0000062	-1.46	-0.86
GO:0035725	0.88	1.76
GO:0032259	1.20	0.65
GO:0008061	-0.35	0.37
GO:0016272	0.82	-0.13
GO:0022008	0.09	-1.74
GO:0016020	0.50	0.60
GO:0090501	-0.99	0.58
GO:0033583	-1.20	-0.24
GO:0030170	1.51	1.51
GO:0016055	1.40	1.25
GO:0016597	-0.91	-3.07
GO:0055114	-1.46	0.72
GO:0008150	-2.11	-1.78
GO:0016021	-1.48	-1.79
GO:0006508	-0.82	-1.25
GO:0080009	-0.69	0.47
GO:0030718	-1.84	-0.53
GO:0051048	1.04	0.40
GO:0042026	-1.63	-1.63
GO:0008270	0.77	0.63
GO:0004252	-1.67	-0.42
GO:0019205	1.36	0.50
GO:0016021	0.31	0.75
GO:0016568	0.75	-1.47
GO:2001283	-1.93	2.28
GO:0055114	-0.37	-0.76
GO:0090307	-1.74	-0.49
GO:0035725	-1.00	-0.81
GO:0008150	0.28	1.71
GO:0048149	1.95	1.51
GO:0019441	0.40	1.16
GO:0016811	-0.35	0.55
GO:0050830	0.51	-0.42
GO:0034220	0.32	1.21
GO:0005686	4.85	-3.78
GO:0070374	-0.59	-0.45
GO:0050660	-0.84	-0.57
GO:0008152	0.97	-0.72
GO:0046982	-0.90	-0.21
GO:0051726	-0.80	0.74
GO:0042742	0.57	0.79
GO:0046328	-1.09	0.17
GO:0008150	-0.33	0.86
GO:0030529	-0.91	0.94
GO:0016021	-0.82	0.43
GO:0008150	-0.57	-0.50
GO:0004175	-0.26	-2.29
GO:0055114	-0.77	0.25
GO:0016199	-1.54	0.58
GO:0007606	-0.75	-0.88
GO:0046976	0.66	-0.51
GO:0008150	1.17	0.85
GO:0016021	-1.21	0.97
GO:0048749	-1.88	-1.32
GO:0008150	-0.95	0.37
GO:0004175	-1.08	-3.14
GO:0032504	-1.82	-0.33
GO:0016020	-1.72	-0.53
GO:0008150	-0.60	-0.96
GO:0030991	0.63	-0.96
GO:0046331	-0.91	-0.22
GO:0040003	-1.33	-0.42
GO:0048813	1.32	-1.86
GO:0032851	1.01	-1.35
GO:0005686	-0.17	0.66
GO:0055085	-0.85	1.22
GO:0055114	1.24	-0.10
GO:0046658	0.68	1.39
GO:0003700	-1.40	0.60
GO:0045873	-1.18	-0.97
GO:0045861	-1.09	-0.20
GO:0017124	-0.60	0.82
GO:0008150	-0.27	0.89
GO:0045746	-0.98	-5.28
GO:0016021	-1.37	-0.55
GO:0046872	-1.83	-1.87
GO:0051082	0.91	0.62
GO:0006406	-2.03	-5.06
GO:0035017	0.41	-0.94
GO:0007476	-0.89	-1.04
GO:0008150	0.77	-1.07
GO:0097206	-0.53	-1.12
GO:0016021	0.88	-0.14
GO:0004383	-1.44	0.50
GO:0042742	-0.48	0.89
GO:0008150	-0.48	0.40
GO:0008150	-1.03	-0.56
GO:0031227	0.14	0.91
GO:0007507	-1.15	-0.54
GO:0035207	-1.98	-0.08
GO:0008150	0.80	-0.47
GO:0050773	-0.74	2.15
GO:0035613	1.10	0.61
GO:0043695	-0.78	0.58
GO:0005576	-0.44	-0.97
GO:0046331	-1.28	-1.17
GO:0031145	-0.79	1.50
GO:0046331	-1.16	0.83
GO:0008150	0.71	1.65
GO:0042802	0.69	1.02
GO:0042734	1.02	-1.17
GO:0046872	-1.53	-0.28
GO:0003682	-2.40	1.37
GO:0051607	-1.75	-1.38
GO:0045434	-1.73	-0.54
GO:0048749	1.33	0.66
GO:0060439	0.74	0.84
GO:0008150	-1.22	-0.40
GO:0030350	0.40	0.87
GO:0016021	0.42	0.87
GO:0007606	-1.23	0.17
GO:0008474	0.19	-0.24
GO:0048813	-1.55	-1.31
GO:1902600	1.51	-0.84
GO:0051561	-1.09	-0.93
GO:0008150	-1.18	-0.97
GO:0000785	-0.77	-0.47
GO:0071806	-0.44	-0.86
GO:0035725	-0.69	0.17
GO:0016310	-0.62	0.69
GO:2001069	-0.82	-0.39
GO:0007606	-1.12	-1.59
GO:0070062	-1.89	1.01
GO:0070084	1.57	-0.24
GO:0071683	0.89	0.30
GO:0022008	-0.40	0.59
GO:0055114	1.54	0.30
GO:0071013	-1.32	-0.60
GO:0046872	-0.61	1.10
GO:0015020	0.34	0.82
GO:0051539	-1.77	0.46
GO:0006508	4.11	1.07
GO:0008150	-1.24	0.36
GO:0055114	1.32	0.43
GO:0044719	-1.41	1.13
GO:0022627	3.49	-2.95
GO:0055085	0.68	0.97
GO:0048037	-0.99	-1.61
GO:0008150	-1.00	0.62
GO:0046693	1.24	-0.22
GO:0046872	-0.99	-1.05
GO:0012505	0.33	0.31
GO:0006508	-1.35	-0.93
GO:0042127	-0.32	-1.13
GO:0016787	-0.70	0.64
GO:0005886	6.83	0.45
GO:0055114	1.06	0.57
GO:0007606	0.81	0.46
GO:0071907	0.75	-0.47
GO:0004867	0.30	-0.17
GO:0071855	-1.03	-0.26
GO:0055114	-0.88	0.76
GO:0008270	1.70	0.80
GO:0016020	1.04	-1.31
GO:0008270	-0.16	0.86
GO:0007010	0.62	-1.62
GO:0051533	-1.54	1.21
GO:0008150	-1.83	1.36
GO:0008150	-0.72	0.47
GO:0016788	0.56	0.72
GO:0016236	-1.53	-0.94
GO:0034976	2.02	-3.32
GO:0071013	-0.49	1.18
GO:0051568	0.42	-0.91
GO:0050660	0.63	-1.09
GO:0071482	0.03	-1.28
GO:0043565	1.53	1.28
GO:0008150	1.07	1.14
GO:0032504	1.84	1.01
GO:0008355	-0.64	0.73
GO:2000252	-0.78	-0.97
GO:0046872	-1.23	-2.55
GO:0008150	-1.06	1.16
GO:0008150	0.66	0.29
GO:0097110	-1.19	0.19
GO:0006508	-1.20	-0.27
GO:0043067	-0.85	1.57
GO:0031012	-1.42	-1.06
GO:0016263	1.15	-1.76
GO:0008150	-1.56	-0.47
GO:0004402	-0.48	-1.42
GO:0016772	-1.74	-0.59
GO:0003713	2.10	1.04
GO:0045892	0.52	0.85
GO:0055114	-1.33	0.46
GO:0005814	-0.74	-0.42
GO:0045476	0.44	0.47
GO:0008270	0.04	1.27
GO:0051082	-0.72	0.32
GO:0046523	-1.67	-2.16
GO:0008150	0.89	0.36
GO:0060271	-1.71	-1.01
GO:0006468	-0.54	1.35
GO:0090305	-1.27	1.20
GO:0070588	1.43	-1.69
GO:0055085	-0.73	0.70
GO:0071855	-1.27	0.58
GO:0008150	-1.01	-0.55
GO:0016887	0.42	-0.83
GO:0046872	-1.21	-1.21
GO:0008270	0.87	-0.32
GO:0055114	-0.85	0.16
GO:0022008	-0.53	0.24
GO:0061327	1.65	3.45
GO:0007606	1.12	0.36
GO:0042600	0.82	0.88
GO:0048067	-1.47	1.54
GO:0032504	1.73	0.90
GO:0016020	-0.28	-0.38
GO:0050829	0.25	2.73
GO:0048531	-0.68	-0.62
GO:0055085	-1.48	0.23
GO:0035062	-0.75	0.95
GO:0043565	1.53	0.55
GO:0035335	0.56	-0.56
GO:0050896	-2.43	-1.46
GO:0046328	1.44	-1.12
GO:0008084	1.70	0.33
GO:0008150	1.08	0.96
GO:0055085	0.93	-0.10
GO:0008150	-1.16	-1.05
GO:0003729	0.91	1.56
GO:0008157	0.64	3.34
GO:0006810	-0.50	-0.54
GO:0005739	0.94	1.16
GO:0016021	0.45	-1.21
GO:0009408	1.29	-0.39
GO:0008150	0.90	-0.17
GO:0034220	0.88	-1.59
GO:0050916	-1.09	-0.30
GO:0008150	-0.42	-1.69
GO:0090305	1.80	0.61
GO:0055114	-1.30	-0.51
GO:0008150	-0.74	-0.14
GO:0004734	-0.57	0.63
GO:0017017	-0.80	0.21
GO:0016788	0.30	-0.86
GO:0016758	-0.68	-0.39
GO:0030246	-0.66	0.68
GO:0051236	0.96	-0.37
GO:0022008	2.57	-0.68
GO:0008061	1.13	0.85
GO:0070681	0.67	1.77
GO:0006810	-1.12	0.87
GO:0045502	-1.29	1.02
GO:0032504	-1.08	0.44
GO:0042302	0.94	0.81
GO:0043666	0.94	-1.29
GO:0048813	0.93	0.26
GO:2001070	0.35	0.64
GO:0055085	1.15	0.75
GO:0071423	-1.41	-0.58
GO:0045211	-1.86	-1.50
GO:0005730	1.34	0.96
GO:0048813	0.95	0.60
GO:0008152	0.91	1.32
GO:0060968	1.15	-1.43
GO:0007616	1.36	0.86
GO:0004402	0.36	-1.38
GO:0070373	1.23	-0.88
GO:0016021	1.88	1.40
GO:0050912	-0.52	-1.06
GO:0004756	-0.27	-0.71
GO:0006508	0.29	0.50
GO:0008150	-1.68	1.46
GO:0031047	-1.08	0.93
GO:0051013	-0.86	0.73
GO:0007369	-0.69	1.56
GO:0008152	-2.29	-1.75
GO:0000990	-0.30	0.65
GO:0022904	-0.95	0.22
GO:0090305	-0.32	0.42
GO:0055114	2.41	1.36
GO:0043565	-1.48	0.78
GO:0050829	1.94	0.48
GO:0046580	0.40	-0.66
GO:0007165	1.98	-1.87
GO:0097206	3.54	1.08
GO:0055114	-0.97	1.25
GO:0061605	-0.66	0.12
GO:0044237	-0.27	-0.45
GO:0072553	-1.39	0.52
GO:0008234	-0.60	0.80
GO:0016485	-0.39	0.53
GO:1902600	-1.93	-1.17
GO:0016747	1.02	0.46
GO:0008061	-0.54	0.35
GO:0008150	1.13	0.71
GO:0055114	-0.29	-1.93
GO:0008150	-1.46	-0.83
GO:0009298	-1.75	1.28
GO:0004175	0.27	-2.66
GO:0055114	-0.55	0.73
GO:0008176	-0.80	1.16
GO:0008150	-1.73	0.49
GO:0030497	0.47	-0.84
GO:0003677	-0.80	-0.26
GO:0090303	-1.00	-0.77
GO:0003682	-0.55	1.28
GO:0008150	-0.61	0.15
GO:0055085	0.64	-0.56
GO:0008150	-0.52	0.50
GO:0005634	-1.17	-0.50
GO:0016874	-1.21	-3.56
GO:0016787	-0.95	1.38
GO:0004867	0.96	0.97
GO:0016063	-2.03	-0.40
GO:0070374	0.68	0.32
GO:0008152	-1.28	1.12
GO:0034450	0.54	1.22
GO:1901838	-1.62	0.63
GO:0051260	1.56	1.13
GO:0071013	1.33	-1.61
GO:0055114	-1.74	-0.74
GO:0030246	-1.73	0.27
GO:0045297	-1.85	-1.10
GO:0016311	1.42	1.55
GO:0060564	6.55	-4.59
GO:0050896	0.31	0.86
GO:0006810	-0.78	-0.55
GO:0007218	0.72	0.40
GO:0008150	1.26	-0.64
GO:0022008	1.07	-1.30
GO:0008150	0.48	0.89
GO:0046872	-1.05	0.14
GO:0090175	0.75	0.49
GO:0098655	0.08	0.72
GO:0008150	-0.96	0.05
GO:0030246	-0.84	1.18
GO:0055114	-1.07	-1.34
